LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
LUX,INFRAINVEST,ROAD,EUR,A,2016,214564133.1,
LUX,INFRAINVEST,ROAD,EUR,A,2017,207836518.4,
LUX,INFRAINVEST,ROAD,EUR,A,2018,180379732,
MEX,INFRAINVEST,RAIL,EUR,A,2014,997829712.9,
MEX,INFRAINVEST,RAIL,EUR,A,2015,1150139166,
MEX,INFRAINVEST,RAIL,EUR,A,2016,1355875508,
MEX,INFRAINVEST,RAIL,EUR,A,2017,1652722896,
MEX,INFRAINVEST,ROAD,EUR,A,2014,4883321834,
MEX,INFRAINVEST,ROAD,EUR,A,2015,4296270671,
MEX,INFRAINVEST,ROAD,EUR,A,2016,3383341765,
MEX,INFRAINVEST,ROAD,EUR,A,2017,2161424639,
NZL,INFRAINVEST,ROAD,EUR,A,2014,911765384.4,
NZL,INFRAINVEST,ROAD,EUR,A,2015,1034296127,
NZL,INFRAINVEST,ROAD,EUR,A,2016,1005213679,
NZL,INFRAINVEST,ROAD,EUR,A,2017,943127166.2,
NZL,INFRAINVEST,ROAD,EUR,A,2018,1057955558,
NOR,INFRAINVEST,RAIL,EUR,A,2014,1218297806,
NOR,INFRAINVEST,RAIL,EUR,A,2015,1281411812,
NOR,INFRAINVEST,RAIL,EUR,A,2016,1460608865,
NOR,INFRAINVEST,RAIL,EUR,A,2017,1345217932,
NOR,INFRAINVEST,RAIL,EUR,A,2018,1400224986,
NOR,INFRAINVEST,ROAD,EUR,A,2014,3804023890,
NOR,INFRAINVEST,ROAD,EUR,A,2015,3559166601,
NOR,INFRAINVEST,ROAD,EUR,A,2016,3383300871,
NOR,INFRAINVEST,ROAD,EUR,A,2017,3717706837,
POL,INFRAINVEST,RAIL,EUR,A,2014,53052933.44,
POL,INFRAINVEST,RAIL,EUR,A,2015,340441809.3,
POL,INFRAINVEST,RAIL,EUR,A,2016,326565221.4,
POL,INFRAINVEST,RAIL,EUR,A,2017,510302375.3,
POL,INFRAINVEST,RAIL,EUR,A,2018,461906773.7,
POL,INFRAINVEST,ROAD,EUR,A,2014,1721113634,
POL,INFRAINVEST,ROAD,EUR,A,2015,2170794683,
POL,INFRAINVEST,ROAD,EUR,A,2016,3075442295,
POL,INFRAINVEST,ROAD,EUR,A,2017,3209595188,
POL,INFRAINVEST,ROAD,EUR,A,2018,2668638220,
PRT,INFRAINVEST,RAIL,EUR,A,2014,120000000,
PRT,INFRAINVEST,RAIL,EUR,A,2015,177000000,
PRT,INFRAINVEST,RAIL,EUR,A,2016,79000000,
PRT,INFRAINVEST,RAIL,EUR,A,2017,110000000,
PRT,INFRAINVEST,RAIL,EUR,A,2018,132000000,
SVK,INFRAINVEST,RAIL,EUR,A,2014,276000000,
SVK,INFRAINVEST,RAIL,EUR,A,2015,295500000,
SVK,INFRAINVEST,RAIL,EUR,A,2016,131600000,
SVK,INFRAINVEST,RAIL,EUR,A,2017,231100000,
SVK,INFRAINVEST,RAIL,EUR,A,2018,279400000,
SVK,INFRAINVEST,ROAD,EUR,A,2014,550000000,
SVK,INFRAINVEST,ROAD,EUR,A,2015,1133782000,
SVK,INFRAINVEST,ROAD,EUR,A,2016,751418000,
SVK,INFRAINVEST,ROAD,EUR,A,2017,749613000,
SVK,INFRAINVEST,ROAD,EUR,A,2018,768840000,
ESP,INFRAINVEST,RAIL,EUR,A,2014,3042000000,
ESP,INFRAINVEST,RAIL,EUR,A,2015,2613000000,
ESP,INFRAINVEST,RAIL,EUR,A,2016,1657000000,
ESP,INFRAINVEST,RAIL,EUR,A,2017,2215000000,
ESP,INFRAINVEST,RAIL,EUR,A,2018,2102000000,P
ESP,INFRAINVEST,ROAD,EUR,A,2014,4358000000,
ESP,INFRAINVEST,ROAD,EUR,A,2015,4259000000,
ESP,INFRAINVEST,ROAD,EUR,A,2016,3880000000,
ESP,INFRAINVEST,ROAD,EUR,A,2017,3690000000,
ESP,INFRAINVEST,ROAD,EUR,A,2018,3512000000,P
SWE,INFRAINVEST,RAIL,EUR,A,2014,1480713210,
SWE,INFRAINVEST,RAIL,EUR,A,2015,1630006949,B
SWE,INFRAINVEST,RAIL,EUR,A,2016,1501653058,
SWE,INFRAINVEST,RAIL,EUR,A,2017,1524982100,
SWE,INFRAINVEST,RAIL,EUR,A,2018,1352257549,
SWE,INFRAINVEST,ROAD,EUR,A,2014,1864811089,
SWE,INFRAINVEST,ROAD,EUR,A,2015,1861457053,
SWE,INFRAINVEST,ROAD,EUR,A,2016,2086339294,
SWE,INFRAINVEST,ROAD,EUR,A,2017,2374415009,
SWE,INFRAINVEST,ROAD,EUR,A,2018,2497001960,
CHE,INFRAINVEST,RAIL,EUR,A,2014,3550139964,
CHE,INFRAINVEST,RAIL,EUR,A,2015,4193518172,
CHE,INFRAINVEST,RAIL,EUR,A,2016,3835993396,
CHE,INFRAINVEST,RAIL,EUR,A,2017,3120726880,
CHE,INFRAINVEST,RAIL,EUR,A,2018,3078188588,
CHE,INFRAINVEST,ROAD,EUR,A,2014,3647291289,
CHE,INFRAINVEST,ROAD,EUR,A,2015,4225708278,
CHE,INFRAINVEST,ROAD,EUR,A,2016,3968196208,
CHE,INFRAINVEST,ROAD,EUR,A,2017,3930182108,
TUR,INFRAINVEST,RAIL,EUR,A,2014,1380580874,
TUR,INFRAINVEST,RAIL,EUR,A,2015,1080993944,
TUR,INFRAINVEST,RAIL,EUR,A,2016,1718237203,
TUR,INFRAINVEST,RAIL,EUR,A,2017,1732663658,
TUR,INFRAINVEST,ROAD,EUR,A,2014,6643862982,
TUR,INFRAINVEST,ROAD,EUR,A,2015,9056839615,
TUR,INFRAINVEST,ROAD,EUR,A,2016,7329613591,
TUR,INFRAINVEST,ROAD,EUR,A,2017,6138690736,
GBR,INFRAINVEST,RAIL,EUR,A,2014,10306706349,
GBR,INFRAINVEST,RAIL,EUR,A,2015,14665859504,B
GBR,INFRAINVEST,RAIL,EUR,A,2016,13511090487,
GBR,INFRAINVEST,RAIL,EUR,A,2017,13055149509,
GBR,INFRAINVEST,RAIL,EUR,A,2018,13711295208,
GBR,INFRAINVEST,ROAD,EUR,A,2014,7845556796,
GBR,INFRAINVEST,ROAD,EUR,A,2015,9067911846,
GBR,INFRAINVEST,ROAD,EUR,A,2016,8561410429,
GBR,INFRAINVEST,ROAD,EUR,A,2017,9082089706,
GBR,INFRAINVEST,ROAD,EUR,A,2018,8697004973,
USA,INFRAINVEST,RAIL,EUR,A,2014,11347832631,
USA,INFRAINVEST,RAIL,EUR,A,2015,15687635184,
USA,INFRAINVEST,RAIL,EUR,A,2016,12473341768,
USA,INFRAINVEST,RAIL,EUR,A,2017,11480563181,
USA,INFRAINVEST,RAIL,EUR,A,2018,10505289886,
USA,INFRAINVEST,ROAD,EUR,A,2014,62763395545,
USA,INFRAINVEST,ROAD,EUR,A,2015,79307858688,
USA,INFRAINVEST,ROAD,EUR,A,2016,82414603289,
USA,INFRAINVEST,ROAD,EUR,A,2017,81200743824,
USA,INFRAINVEST,ROAD,EUR,A,2018,80744815912,
ALB,INFRAINVEST,RAIL,EUR,A,2014,693109.6328,
ALB,INFRAINVEST,RAIL,EUR,A,2015,549358.1278,
ALB,INFRAINVEST,RAIL,EUR,A,2016,0,
ALB,INFRAINVEST,RAIL,EUR,A,2017,0,
ALB,INFRAINVEST,RAIL,EUR,A,2018,304952.3796,
ALB,INFRAINVEST,ROAD,EUR,A,2014,192720205.2,
ALB,INFRAINVEST,ROAD,EUR,A,2015,179237483.8,
ALB,INFRAINVEST,ROAD,EUR,A,2016,89140668.52,
ALB,INFRAINVEST,ROAD,EUR,A,2017,159051489.9,
ALB,INFRAINVEST,ROAD,EUR,A,2018,169252490.4,
AZE,INFRAINVEST,RAIL,EUR,A,2014,3837666.699,
AZE,INFRAINVEST,RAIL,EUR,A,2015,1762269.804,
AZE,INFRAINVEST,RAIL,EUR,A,2016,1133401.337,
AZE,INFRAINVEST,RAIL,EUR,A,2017,1029813.089,
AZE,INFRAINVEST,RAIL,EUR,A,2018,3485014.438,
AZE,INFRAINVEST,ROAD,EUR,A,2014,1411301928,
AZE,INFRAINVEST,ROAD,EUR,A,2015,873204687.6,
AZE,INFRAINVEST,ROAD,EUR,A,2016,498129887.8,
AZE,INFRAINVEST,ROAD,EUR,A,2017,557128881.1,
AZE,INFRAINVEST,ROAD,EUR,A,2018,695011450.8,
BGR,INFRAINVEST,RAIL,EUR,A,2014,167195009.7,
BGR,INFRAINVEST,RAIL,EUR,A,2015,301155537.4,
BGR,INFRAINVEST,RAIL,EUR,A,2016,153389917.2,
BGR,INFRAINVEST,RAIL,EUR,A,2017,92033950.3,
BGR,INFRAINVEST,RAIL,EUR,A,2018,96124348.09,
BGR,INFRAINVEST,ROAD,EUR,A,2014,563452295.7,
BGR,INFRAINVEST,ROAD,EUR,A,2015,839042846.9,
BGR,INFRAINVEST,ROAD,EUR,A,2016,163104611.9,
BGR,INFRAINVEST,ROAD,EUR,A,2017,115042437.9,
BGR,INFRAINVEST,ROAD,EUR,A,2018,882503323.4,
HRV,INFRAINVEST,RAIL,EUR,A,2014,130720666.4,
HRV,INFRAINVEST,RAIL,EUR,A,2015,60021013.92,
HRV,INFRAINVEST,RAIL,EUR,A,2016,44329418.01,
HRV,INFRAINVEST,RAIL,EUR,A,2017,62563635.39,
HRV,INFRAINVEST,RAIL,EUR,A,2018,99621196.8,
HRV,INFRAINVEST,ROAD,EUR,A,2014,279516936.1,
HRV,INFRAINVEST,ROAD,EUR,A,2015,238376674.5,
HRV,INFRAINVEST,ROAD,EUR,A,2016,197358816.1,
HRV,INFRAINVEST,ROAD,EUR,A,2017,196532876.1,
HRV,INFRAINVEST,ROAD,EUR,A,2018,285517855,
EST,INFRAINVEST,RAIL,EUR,A,2014,15500000,
EST,INFRAINVEST,RAIL,EUR,A,2015,13100000,
EST,INFRAINVEST,RAIL,EUR,A,2016,15400000,
EST,INFRAINVEST,RAIL,EUR,A,2017,14000000,
EST,INFRAINVEST,RAIL,EUR,A,2018,27000000,
EST,INFRAINVEST,ROAD,EUR,A,2014,147660000,
EST,INFRAINVEST,ROAD,EUR,A,2015,185050000,
EST,INFRAINVEST,ROAD,EUR,A,2016,148600000,
EST,INFRAINVEST,ROAD,EUR,A,2017,197000000,
EST,INFRAINVEST,ROAD,EUR,A,2018,219000000,
GEO,INFRAINVEST,RAIL,EUR,A,2014,76544603.55,
GEO,INFRAINVEST,RAIL,EUR,A,2015,88229139.27,
GEO,INFRAINVEST,RAIL,EUR,A,2016,88687246.86,
GEO,INFRAINVEST,RAIL,EUR,A,2017,46852583.57,
GEO,INFRAINVEST,RAIL,EUR,A,2018,54016355.86,
GEO,INFRAINVEST,ROAD,EUR,A,2014,224482580.7,
GEO,INFRAINVEST,ROAD,EUR,A,2015,194100469,
GEO,INFRAINVEST,ROAD,EUR,A,2016,202483164.5,
GEO,INFRAINVEST,ROAD,EUR,A,2017,308175656.6,
GEO,INFRAINVEST,ROAD,EUR,A,2018,402560502.7,
IND,INFRAINVEST,RAIL,EUR,A,2014,8786181249,
IND,INFRAINVEST,RAIL,EUR,A,2015,9643918863,
IND,INFRAINVEST,RAIL,EUR,A,2016,9890866187,
IND,INFRAINVEST,RAIL,EUR,A,2017,10368632929,
IND,INFRAINVEST,ROAD,EUR,A,2014,8717764011,
IND,INFRAINVEST,ROAD,EUR,A,2015,13689845439,
IND,INFRAINVEST,ROAD,EUR,A,2016,12461385189,
LVA,INFRAINVEST,RAIL,EUR,A,2014,136000000,
LVA,INFRAINVEST,RAIL,EUR,A,2015,209000000,
LVA,INFRAINVEST,RAIL,EUR,A,2016,24000000,
LVA,INFRAINVEST,RAIL,EUR,A,2017,22000000,
LVA,INFRAINVEST,RAIL,EUR,A,2018,17200000,
LVA,INFRAINVEST,ROAD,EUR,A,2014,188000000,
LVA,INFRAINVEST,ROAD,EUR,A,2015,203000000,
LVA,INFRAINVEST,ROAD,EUR,A,2016,190000000,
LVA,INFRAINVEST,ROAD,EUR,A,2017,226000000,
LVA,INFRAINVEST,ROAD,EUR,A,2018,221400000,
LIE,INFRAINVEST,RAIL,EUR,A,2014,,M
LIE,INFRAINVEST,RAIL,EUR,A,2015,,M
LIE,INFRAINVEST,RAIL,EUR,A,2016,,M
LIE,INFRAINVEST,RAIL,EUR,A,2017,,M
LIE,INFRAINVEST,RAIL,EUR,A,2018,,M
LTU,INFRAINVEST,RAIL,EUR,A,2014,264000000,
LTU,INFRAINVEST,RAIL,EUR,A,2015,180000000,
LTU,INFRAINVEST,RAIL,EUR,A,2016,70000000,
LTU,INFRAINVEST,RAIL,EUR,A,2017,49000000,
LTU,INFRAINVEST,RAIL,EUR,A,2018,65000000,
LTU,INFRAINVEST,ROAD,EUR,A,2014,224000000,
LTU,INFRAINVEST,ROAD,EUR,A,2015,258000000,
LTU,INFRAINVEST,ROAD,EUR,A,2016,357000000,
LTU,INFRAINVEST,ROAD,EUR,A,2017,345000000,
LTU,INFRAINVEST,ROAD,EUR,A,2018,325000000,
MKD,INFRAINVEST,ROAD,EUR,A,2014,174274591.6,
MKD,INFRAINVEST,ROAD,EUR,A,2015,166327103,
MKD,INFRAINVEST,ROAD,EUR,A,2016,228634923.2,
MKD,INFRAINVEST,ROAD,EUR,A,2017,195062695.8,
MKD,INFRAINVEST,ROAD,EUR,A,2018,156964278.5,
MLT,INFRAINVEST,RAIL,EUR,A,2014,,M
MLT,INFRAINVEST,RAIL,EUR,A,2015,,M
MLT,INFRAINVEST,RAIL,EUR,A,2016,,M
MLT,INFRAINVEST,RAIL,EUR,A,2017,,M
MLT,INFRAINVEST,RAIL,EUR,A,2018,,M
MLT,INFRAINVEST,ROAD,EUR,A,2014,38522824.59,
MDA,INFRAINVEST,RAIL,EUR,A,2014,4511544.721,
MDA,INFRAINVEST,RAIL,EUR,A,2015,4480050.598,
MDA,INFRAINVEST,RAIL,EUR,A,2016,1034257.512,
MDA,INFRAINVEST,RAIL,EUR,A,2017,998114.1401,
MDA,INFRAINVEST,RAIL,EUR,A,2018,1219364.721,P
MDA,INFRAINVEST,ROAD,EUR,A,2014,38885218.78,
MDA,INFRAINVEST,ROAD,EUR,A,2015,51077368.32,
MDA,INFRAINVEST,ROAD,EUR,A,2016,36289737.26,
MDA,INFRAINVEST,ROAD,EUR,A,2017,31287039.39,
MDA,INFRAINVEST,ROAD,EUR,A,2018,33658497.26,
ROU,INFRAINVEST,RAIL,EUR,A,2014,277659023.9,
ROU,INFRAINVEST,RAIL,EUR,A,2015,321920273.6,
ROU,INFRAINVEST,RAIL,EUR,A,2016,262091386.8,
ROU,INFRAINVEST,RAIL,EUR,A,2017,214503031.5,
ROU,INFRAINVEST,RAIL,EUR,A,2018,182853459.4,
ROU,INFRAINVEST,ROAD,EUR,A,2014,2492631011,
ROU,INFRAINVEST,ROAD,EUR,A,2015,2870287051,
ROU,INFRAINVEST,ROAD,EUR,A,2016,2366794335,
ROU,INFRAINVEST,ROAD,EUR,A,2017,2133648521,
ROU,INFRAINVEST,ROAD,EUR,A,2018,2181564246,
RUS,INFRAINVEST,RAIL,EUR,A,2014,6474564075,
RUS,INFRAINVEST,RAIL,EUR,A,2015,5022319785,
RUS,INFRAINVEST,RAIL,EUR,A,2016,4830359080,
RUS,INFRAINVEST,RAIL,EUR,A,2017,3609268307,
RUS,INFRAINVEST,RAIL,EUR,A,2018,4355181801,
RUS,INFRAINVEST,ROAD,EUR,A,2014,8283703463,
RUS,INFRAINVEST,ROAD,EUR,A,2015,6117207705,
RUS,INFRAINVEST,ROAD,EUR,A,2016,7597019773,
RUS,INFRAINVEST,ROAD,EUR,A,2017,8201505914,
RUS,INFRAINVEST,ROAD,EUR,A,2018,7298221094,
SVN,INFRAINVEST,RAIL,EUR,A,2014,270000000,
SVN,INFRAINVEST,RAIL,EUR,A,2015,376000000,
SVN,INFRAINVEST,RAIL,EUR,A,2016,84400000,
SVN,INFRAINVEST,RAIL,EUR,A,2017,100000000,
SVN,INFRAINVEST,RAIL,EUR,A,2018,153000000,
SVN,INFRAINVEST,ROAD,EUR,A,2014,128000000,
SVN,INFRAINVEST,ROAD,EUR,A,2015,102000000,
SVN,INFRAINVEST,ROAD,EUR,A,2016,100000000,
SVN,INFRAINVEST,ROAD,EUR,A,2017,120000000,
SVN,INFRAINVEST,ROAD,EUR,A,2018,219000000,
SRB,INFRAINVEST,RAIL,EUR,A,2014,11773659.08,
SRB,INFRAINVEST,RAIL,EUR,A,2015,83081376.99,
SRB,INFRAINVEST,RAIL,EUR,A,2016,73320275.15,
SRB,INFRAINVEST,RAIL,EUR,A,2017,45021175.53,
SRB,INFRAINVEST,RAIL,EUR,A,2018,68347243.23,P
SRB,INFRAINVEST,ROAD,EUR,A,2014,336982598.9,
SRB,INFRAINVEST,ROAD,EUR,A,2015,505058874.5,
SRB,INFRAINVEST,ROAD,EUR,A,2016,493833379,
SRB,INFRAINVEST,ROAD,EUR,A,2017,506679830.5,
SRB,INFRAINVEST,ROAD,EUR,A,2018,442540366.1,P
BEL,INFRAINVEST,AIR,EUR,A,2014,107000000,
BEL,INFRAINVEST,AIR,EUR,A,2015,127000000,
BEL,INFRAINVEST,AIR,EUR,A,2016,109310000,
BEL,INFRAINVEST,AIR,EUR,A,2017,116282000,
CAN,INFRAINVEST,AIR,EUR,A,2014,1032108528,
CAN,INFRAINVEST,AIR,EUR,A,2015,1053188488,
CAN,INFRAINVEST,AIR,EUR,A,2016,979950900.2,
CAN,INFRAINVEST,AIR,EUR,A,2017,787353182.2,
CAN,INFRAINVEST,AIR,EUR,A,2018,840413017.9,
CZE,INFRAINVEST,AIR,EUR,A,2014,35989511.84,
CZE,INFRAINVEST,AIR,EUR,A,2015,36393622.87,
CZE,INFRAINVEST,AIR,EUR,A,2016,65065731.55,
CZE,INFRAINVEST,AIR,EUR,A,2017,63926281.56,
CZE,INFRAINVEST,AIR,EUR,A,2018,125140876.1,
DNK,INFRAINVEST,AIR,EUR,A,2014,22535513.55,
DNK,INFRAINVEST,AIR,EUR,A,2015,9921432.977,
DNK,INFRAINVEST,AIR,EUR,A,2016,5909689.204,
DNK,INFRAINVEST,AIR,EUR,A,2017,2823073.924,
FIN,INFRAINVEST,AIR,EUR,A,2014,86000000,
